# Offset 969
# Start Time         End Time                Novel     Notes
2020-06-24 12:37:19  2020-06-24 12:37:44       593       376
2020-06-25 12:41:34  2020-06-25 12:42:12       606       376
2020-06-25 12:42:24  2020-06-25 12:43:38       606       376
2020-06-25 13:22:27  2020-06-25 13:22:40       606       376
2020-06-25 13:22:52  2020-06-25 13:23:04       606       376
2020-06-25 13:24:03  2020-06-25 13:24:28       606       376
2020-06-25 13:28:20  2020-06-25 13:28:35       606       376
2020-06-25 13:34:12  2020-06-25 13:35:19       606       376
2020-06-25 13:40:20  2020-06-25 13:40:32       606       376
2020-06-25 13:40:45  2020-06-25 13:42:04       606       376
2020-06-25 13:42:17  2020-06-25 13:42:47       606       376
2020-06-25 13:43:17  2020-06-25 13:43:28       606       376
2020-06-25 13:43:36  2020-06-25 13:44:16       606       376
2020-06-25 20:01:54  2020-06-25 20:02:31       606       376
2020-06-25 20:42:56  2020-06-25 20:43:47       606       376
2020-06-25 20:43:49  2020-06-25 20:44:01       606       376
2020-06-25 20:52:50  2020-06-25 20:53:01       606       376
2020-06-25 20:55:57  2020-06-25 20:56:03       606       376
2020-06-25 20:59:19  2020-06-25 20:59:30       606       376
2020-06-25 21:07:28  2020-06-25 21:07:39       606       376
2020-06-25 21:08:57  2020-06-25 21:09:22       606       376
2020-06-26 17:15:14  2020-06-26 17:16:03       606       376
2020-06-26 17:20:13  2020-06-26 17:20:39       606       376
2020-06-26 17:34:53  2020-06-26 17:35:04       606       376
2020-06-26 17:41:11  2020-06-26 17:41:31       606       376
2020-06-26 17:50:39  2020-06-26 17:50:54       606       376
2020-06-26 17:54:40  2020-06-26 17:55:04       606       376
2020-06-26 17:55:06  2020-06-26 17:55:44       606       376
2020-06-26 17:58:36  2020-06-26 18:01:47       606       376
2020-06-26 18:02:32  2020-06-26 18:04:13       606       376
2020-06-26 18:04:14  2020-06-26 18:04:46       606       376
2020-06-26 18:04:47  2020-06-26 18:05:03       606       376
2020-06-26 18:05:06  2020-06-26 18:09:52       606       376
2020-06-26 18:11:15  2020-06-26 18:11:32       606       376
2020-06-26 18:11:43  2020-06-26 18:11:56       606       376
2020-06-26 18:14:47  2020-06-26 18:15:07       606       376
2020-06-26 18:18:44  2020-06-26 18:18:54       606       376
2020-06-26 18:20:27  2020-06-26 18:20:39       606       376
2020-06-26 18:21:33  2020-06-26 18:21:55       606       376
2020-06-26 18:27:38  2020-06-26 18:28:06       606       376
2020-06-26 18:33:50  2020-06-26 18:33:59       606       376
2020-06-26 18:34:05  2020-06-26 18:34:12       606       376
2020-06-26 18:36:41  2020-06-26 18:36:47       606       376
2020-06-26 19:18:08  2020-06-26 19:18:10       606       376
2020-06-26 19:20:20  2020-06-26 19:20:22       606       376
2020-06-26 19:22:42  2020-06-26 19:22:45       606       376
2020-06-26 19:23:50  2020-06-26 19:23:55       606       376
2020-06-26 19:24:23  2020-06-26 19:24:25       606       376
2020-06-26 19:29:21  2020-06-26 19:29:32       606       376
2020-06-26 21:54:03  2020-06-26 21:54:19       606       376
2020-06-27 16:54:48  2020-06-27 16:59:18       606       376
2020-06-27 16:59:20  2020-06-27 17:00:02       606       376
2020-06-27 17:19:16  2020-06-27 17:19:20       606       376
2020-06-27 17:29:17  2020-06-27 17:29:20       606       376
2020-06-27 17:38:21  2020-06-27 17:38:59       606       376
2020-06-27 17:39:32  2020-06-27 17:40:44       606       376
2020-06-27 17:40:47  2020-06-27 17:41:11       606       376
2020-06-27 17:43:51  2020-06-27 17:44:19       606       376
2020-06-27 18:13:37  2020-06-27 18:14:01       606       376
2020-06-27 18:14:30  2020-06-27 18:14:33       606       376
2020-06-27 18:14:42  2020-06-27 18:14:49       606       376
2020-06-27 18:14:56  2020-06-27 18:15:00       606       376
2020-06-27 18:15:07  2020-06-27 18:15:11       606       376
2020-06-27 18:15:20  2020-06-27 18:15:24       606       376
2020-06-27 18:17:11  2020-06-27 18:17:20       606       376
2020-06-27 18:17:54  2020-06-27 18:17:59       606       376
2020-06-27 18:18:11  2020-06-27 18:18:16       606       376
2020-06-27 18:19:19  2020-06-27 18:19:24       606       376
2020-06-27 18:20:02  2020-06-27 18:20:10       606       376
2020-06-27 18:20:25  2020-06-27 18:20:46       606       376
2020-06-27 18:21:36  2020-06-27 18:21:50       606       376
2020-06-27 18:24:42  2020-06-27 18:26:32       606       376
2020-06-27 18:26:34  2020-06-27 18:29:59       606       376
2020-06-27 18:30:02  2020-06-27 18:30:34       606       376
2020-06-27 18:30:37  2020-06-27 18:30:49       606       376
2020-06-27 18:32:28  2020-06-27 18:32:35       606       376
2020-06-27 18:32:51  2020-06-27 18:33:07       606       376
2020-06-27 18:33:10  2020-06-27 18:33:17       606       376
2020-06-27 18:39:09  2020-06-27 18:39:42       606       376
2020-06-27 19:19:50  2020-06-27 19:19:58       606       376
2020-06-27 19:21:54  2020-06-27 19:24:09       612       376
2020-06-27 19:26:48  2020-06-27 19:27:52       612       376
2020-06-27 19:31:43  2020-06-27 19:32:43       612       376
2020-06-27 19:39:00  2020-06-27 19:39:22       606       376
2020-06-27 19:39:25  2020-06-27 19:39:35       606       376
2020-06-27 19:40:32  2020-06-27 19:40:49       606       376
2020-06-27 19:46:15  2020-06-27 19:46:39       606       376
2020-06-27 19:48:11  2020-06-27 19:48:28       606       376
2020-06-27 20:03:35  2020-06-27 20:04:24       606       376
2020-06-27 20:08:59  2020-06-27 20:09:08       606       376
2020-06-27 20:14:01  2020-06-27 20:14:12       606       376
2020-06-27 20:14:34  2020-06-27 20:14:54       606       376
2020-06-27 20:15:02  2020-06-27 20:15:15       606       376
2020-06-27 20:17:43  2020-06-27 20:17:56       606       376
2020-06-27 20:51:40  2020-06-27 20:52:22       606       376
2020-06-27 21:11:35  2020-06-27 21:16:00       606       376
2020-06-27 21:16:01  2020-06-27 21:16:31       606       376
2020-06-27 21:16:34  2020-06-27 21:17:10       606       376
2020-06-27 21:19:59  2020-06-27 21:20:56       606       376
2020-06-27 22:01:36  2020-06-27 22:05:16       606       376
2020-06-27 22:22:39  2020-06-27 22:22:45       606       376
2020-06-27 22:22:57  2020-06-27 22:23:00       606       376
2020-06-27 22:23:15  2020-06-27 22:23:17       606       376
2020-06-27 22:26:40  2020-06-27 22:26:44       606       376
2020-06-27 22:26:58  2020-06-27 22:27:01       606       376
2020-06-27 22:27:10  2020-06-27 22:27:13       606       376
2020-06-28 15:39:36  2020-06-28 15:40:11       606       376
2020-06-28 15:48:20  2020-06-28 16:23:03       606       376
2020-06-28 17:04:10  2020-06-28 17:06:47       606       376
2020-06-28 17:11:10  2020-06-28 17:14:15       606       376
2020-06-28 21:48:45  2020-06-28 21:50:41       606       376
2020-06-28 21:51:04  2020-06-28 21:51:18       606       376
2020-06-28 21:51:25  2020-06-28 21:52:08       606       376
2020-06-28 21:52:10  2020-06-28 21:52:36       606       376
2020-06-28 21:53:02  2020-06-28 22:20:33       606       376
2020-06-28 22:20:34  2020-06-28 22:21:15       606       376
2020-06-28 22:26:51  2020-06-28 22:34:10      1121       376
2020-06-28 22:42:23  2020-06-28 22:42:29      1121       376
2020-06-28 22:42:45  2020-06-28 22:43:08      1121       376
2020-06-28 22:43:18  2020-06-28 22:44:17      1121       376
2020-06-28 22:44:19  2020-06-28 22:44:59      1121       376
2020-06-29 00:19:12  2020-06-29 00:45:13      1121       376
2020-06-29 00:45:17  2020-06-29 00:51:25      1121       376
2020-06-29 09:47:51  2020-06-29 09:48:26      1121       376
2020-06-29 09:51:19  2020-06-29 09:52:05      1121       376
2020-06-29 09:53:42  2020-06-29 09:53:49      1121       376
2020-06-29 09:55:12  2020-06-29 09:55:20      1121       376
2020-06-29 09:55:54  2020-06-29 09:55:58      1121       376
2020-06-29 09:57:04  2020-06-29 09:57:16      1121       376
2020-06-29 09:57:56  2020-06-29 09:58:03      1121       376
2020-06-29 09:58:12  2020-06-29 09:58:22      1121       376
2020-06-29 09:59:30  2020-06-29 10:00:05      1121       376
2020-06-29 10:00:45  2020-06-29 10:02:07      1121       376
2020-06-29 10:02:20  2020-06-29 10:02:47      1121       376
2020-06-29 10:05:32  2020-06-29 10:06:40      1121       376
2020-06-29 10:08:07  2020-06-29 10:08:34      1121       376
2020-06-29 10:20:48  2020-06-29 10:22:04    100923       376
2020-06-29 10:22:07  2020-06-29 10:22:37    100923       376
2020-06-29 10:22:40  2020-06-29 10:22:55    100923       376
2020-06-29 10:22:58  2020-06-29 10:23:05    100923       376
2020-06-29 10:23:15  2020-06-29 10:24:21    100923       376
2020-06-29 10:24:29  2020-06-29 10:24:58    100923       376
2020-06-29 10:26:09  2020-06-29 10:26:58    100923       376
2020-06-29 10:28:27  2020-06-29 10:28:39    100923       376
2020-06-29 10:31:32  2020-06-29 10:31:41    100923       376
2020-06-29 10:32:04  2020-06-29 10:32:15    100923       376
2020-06-29 10:33:08  2020-06-29 10:34:08    100923       376
2020-06-29 10:34:39  2020-06-29 10:34:51    100923       376
2020-06-29 10:36:56  2020-06-29 10:37:42      1121       376
2020-06-29 10:41:05  2020-06-29 10:41:18      1121       376
2020-06-29 10:43:50  2020-06-29 10:43:58      1121       376
2020-06-29 11:27:35  2020-06-29 11:27:50      1121       376
2020-06-29 11:29:22  2020-06-29 11:29:32      1121       376
2020-06-29 11:31:21  2020-06-29 11:31:41      1121       376
2020-06-29 11:31:44  2020-06-29 11:32:14      1121       376
2020-06-29 11:33:22  2020-06-29 11:33:32      1121       376
2020-06-29 11:33:59  2020-06-29 11:34:12      1121       376
2020-06-29 12:17:58  2020-06-29 12:18:24      1121       376
2020-06-29 12:18:48  2020-06-29 12:19:39      1121       376
2020-06-29 12:24:02  2020-06-29 12:24:16      1121       376
2020-06-29 12:24:39  2020-06-29 12:24:49      1121       376
2020-06-29 12:24:57  2020-06-29 12:25:31      1121       376
2020-06-29 12:50:27  2020-06-29 12:51:06       606       376
2020-06-29 12:53:24  2020-06-29 12:56:20       646       376
2020-06-29 13:27:29  2020-06-29 13:27:47       646       376
2020-06-29 13:48:08  2020-06-29 13:48:24       606       376
2020-06-29 17:18:14  2020-06-29 17:19:46       646       376
2020-06-29 17:19:47  2020-06-29 17:19:53       646       376
2020-06-29 17:20:23  2020-06-29 17:20:45       646       376
2020-06-29 17:26:01  2020-06-29 17:26:07       646       376
2020-06-29 17:27:38  2020-06-29 17:28:04       646       376
2020-06-29 17:28:59  2020-06-29 17:29:38       646       376
2020-06-29 17:30:44  2020-06-29 17:32:29       646       376
2020-06-29 17:32:56  2020-06-29 17:33:04       646       376
2020-06-29 22:12:09  2020-06-29 22:12:18       646       376
2020-07-01 09:19:15  2020-07-01 09:37:01       646       376
2020-07-02 10:28:14  2020-07-02 10:28:23       646       376
2020-07-02 20:50:04  2020-07-02 20:50:17       646       376
2020-07-02 20:51:06  2020-07-02 20:51:20       646       376
2020-07-02 20:53:46  2020-07-02 20:54:03       646       376
2020-07-02 20:55:29  2020-07-02 20:55:33       646       376
2020-07-03 17:05:10  2020-07-03 17:20:07       982       376
2020-07-03 21:42:27  2020-07-03 22:45:48       834       376
2020-07-03 22:46:15  2020-07-03 22:47:15       646       376
2020-07-03 22:50:32  2020-07-03 22:51:02       646       376
2020-07-03 23:03:32  2020-07-03 23:05:05       646       376
2020-07-04 10:46:40  2020-07-04 10:47:11       646       376
2020-07-04 13:19:49  2020-07-04 13:19:52       646       376
2020-07-04 19:29:58  2020-07-04 19:30:40       646       376
2020-07-04 19:31:32  2020-07-04 19:32:50       646       376
2020-07-04 19:33:09  2020-07-04 19:33:24       646       376
2020-07-04 19:33:57  2020-07-04 19:34:35       646       376
2020-07-04 19:37:34  2020-07-04 19:37:56       646       376
2020-07-04 19:46:46  2020-07-04 19:46:58       646       376
2020-07-04 19:47:57  2020-07-04 19:54:14       646       376
2020-07-04 19:54:20  2020-07-04 19:55:04       646       376
2020-07-05 16:36:04  2020-07-05 16:36:17       646       376
2020-07-05 16:40:43  2020-07-05 16:40:50       646       376
2020-07-05 16:43:37  2020-07-05 16:43:42       646       376
2020-07-05 16:43:55  2020-07-05 16:43:59       646       376
2020-07-05 16:45:49  2020-07-05 16:45:54       646       376
2020-07-05 16:47:36  2020-07-05 16:47:42       646       376
2020-07-05 16:51:29  2020-07-05 16:52:31       646       376
2020-07-05 20:19:24  2020-07-05 20:19:34       645       376
2020-07-05 20:19:49  2020-07-05 20:20:04       646       376
2020-07-05 20:20:32  2020-07-05 20:20:43       647       376
2020-07-05 20:20:49  2020-07-05 20:21:29       670       376
2020-07-05 20:21:34  2020-07-05 20:21:45       646       376
2020-07-06 08:04:37  2020-07-06 08:05:24       646       376
2020-07-06 08:14:44  2020-07-06 08:14:52       646       376
2020-07-06 10:18:44  2020-07-06 10:18:48       646       376
2020-07-06 10:20:03  2020-07-06 10:20:08       646       376
2020-07-06 10:20:52  2020-07-06 10:21:24       646       376
2020-07-06 10:22:43  2020-07-06 10:22:49       646       376
2020-07-09 12:18:57  2020-07-09 12:19:14       646       376
2020-07-09 12:19:19  2020-07-09 12:19:22       646       376
2020-07-26 14:16:01  2020-07-26 14:19:23       646       376
2020-07-26 14:19:25  2020-07-26 14:19:36       646       376
2020-07-26 14:27:09  2020-07-26 14:28:03       646       376
2020-07-26 14:28:04  2020-07-26 14:29:09       646       376
2020-07-26 14:29:29  2020-07-26 14:31:19       646       376
2020-07-26 14:38:35  2020-07-26 14:38:53       646       376
2020-07-26 19:40:58  2020-07-26 19:42:35       646       376
2020-07-26 19:42:37  2020-07-26 19:43:12       646       376
2020-07-26 19:43:14  2020-07-26 19:43:39       646       376
2020-07-26 19:52:14  2020-07-26 19:53:38       646       376
2020-07-26 19:53:46  2020-07-26 19:54:20       647       376
2020-07-26 19:54:29  2020-07-26 19:54:59       646       376
2020-07-26 22:03:57  2020-07-26 22:04:49       646       376
2020-07-26 22:07:47  2020-07-26 22:08:52       646       376
2020-07-26 22:08:54  2020-07-26 22:09:33       646       376
2020-07-26 22:09:34  2020-07-26 22:09:58       646       376
2020-07-26 22:10:00  2020-07-26 22:10:13       646       376
2020-07-26 22:17:37  2020-07-26 22:19:00       646       376
2020-07-26 22:20:42  2020-07-26 22:21:08       646       376
2020-07-26 22:23:15  2020-07-26 22:23:51       646       376
2020-07-27 14:17:23  2020-07-27 14:19:28       646       376
2020-07-27 14:26:10  2020-07-27 14:26:31       646       376
2020-07-27 14:29:52  2020-07-27 14:30:52       646       376
2020-07-27 14:32:02  2020-07-27 14:33:09       646       376
2020-07-27 14:37:01  2020-07-27 14:37:45       646       376
2020-07-27 14:46:25  2020-07-27 14:47:10       646       376
2020-07-27 14:54:14  2020-07-27 14:54:40       646       376
2020-07-27 14:54:47  2020-07-27 14:55:25       646       376
2020-07-27 14:57:26  2020-07-27 14:58:09       646       376
2020-07-27 15:00:39  2020-07-27 15:01:12       646       376
2020-07-27 15:02:04  2020-07-27 15:03:10       646       376
